State,County,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
California,Alameda,1455715,1477208,1498539,1512997,1530893,1553729,1579508,1607638,1634326,1650765,1659824,1666596,1668412,1662323
California,Alpine,1274,1202,1197,1161,1093,1111,1131,1083,1080,1053,1116,1081,1113,1119
California,Amador,38756,38248,38238,37883,37539,37105,36624,36734,37039,37443,38549,39349,39693,40083
California,Butte,217469,219034,219777,219951,219983,220877,221649,223525,224643,226222,228700,230330,218726,212744
California,Calaveras,46268,46265,45900,45467,45159,44816,44658,44677,44972,45307,45658,45747,46119,46308
California,Colusa,21075,21134,21250,21435,21315,21274,21239,21156,21208,21476,21558,21389,21474,21558
California,Contra Costa,1009152,1023344,1037890,1052516,1065361,1077439,1093253,1108665,1124148,1137259,1145623,1150840,1152883,1152333
California,Del Norte,28415,28496,28599,28568,28447,28195,27821,27182,27198,27415,27383,27793,27903,27968
California,El Dorado,177694,179150,180455,181161,180963,180613,181529,183157,184627,186027,188793,190925,193057,192925
California,Fresno,895933,909630,921478,932011,939251,944779,951143,960072,968889,976231,984726,991298,997847,1000918
California,Glenn,27775,28019,28100,28125,28131,27836,27784,27802,27723,27796,27876,27899,28445,28283
California,Humboldt,132001,132657,133744,135010,135257,134597,134447,134556,135177,136477,136710,136502,135839,134977
California,Imperial,164596,167917,172008,174704,175731,176487,176301,177786,178701,179881,181250,181062,180439,180267
California,Inyo,18426,18318,18544,18503,18385,18344,18348,18280,18097,17897,17819,17894,17993,18046
California,Kern,803281,818327,830137,841365,848651,854392,862727,869837,876548,881094,887316,893618,898898,901362
California,Kings,150420,152027,152278,152342,151779,150884,150237,149373,149960,149269,149542,151221,152727,152692
California,Lake,64077,64392,64413,64736,64258,63966,63811,64056,64266,63912,64132,64394,64463,64479
California,Lassen,35615,35221,35160,34828,34235,33622,32128,31664,31256,30715,30919,30658,30694,30016
California,Los Angeles,9700359,9735147,9787400,9821647,9873700,9931394,9987189,10033449,10077263,10094865,10092365,10061533,10011602,9943046
California,Madera,146067,148359,149234,151006,151685,151520,151295,153357,153448,153694,155079,156373,156717,157761
California,Marin,246248,248398,250862,252906,255380,256087,258441,260403,260974,260722,259975,260091,259085,257332
California,Mariposa,18366,18412,18212,18302,18199,17912,17840,17745,17653,17498,17461,17361,17117,17160
California,Mendocino,87071,87468,87722,87796,87335,87293,87070,87247,87131,87319,87690,87549,86932,86061
California,Merced,248540,250538,252302,256709,259249,260776,261888,264241,266133,267370,270837,273733,277114,279252
California,Modoc,9525,9551,9646,9698,9513,9358,9154,9078,9064,8957,8864,8816,8866,8763
California,Mono,13678,13862,14008,14256,14424,14328,14064,14130,14074,14256,14333,14400,14450,14534
California,Monterey,402376,406022,410263,416358,420379,424222,426163,427985,430178,433436,433803,433359,433380,430906
California,Napa,132583,134093,135280,136752,137668,138504,139522,140331,140766,140778,139818,138620,137678,135965
California,Nevada,97794,98200,98591,98795,98716,98165,97969,98605,98716,98939,99421,99472,99648,99606
California,Orange,2931629,2957593,2987177,3016376,3050199,3078710,3105262,3126523,3148952,3164277,3174159,3175579,3170851,3166857
California,Placer,329023,337568,343810,350007,356323,360269,365415,369241,372870,379046,385348,392735,398918,402950
California,Plumas,20667,20410,20169,19915,19720,19380,18901,18631,18435,18691,18680,18830,19052,18967
California,Riverside,2075183,2109712,2146725,2201562,2233840,2260763,2286087,2315238,2344648,2378282,2413058,2443221,2465569,2489188
California,Sacramento,1381161,1394438,1408601,1421381,1433712,1444819,1457283,1474828,1493547,1511401,1527984,1539550,1551660,1559146
California,San Benito,54072,54267,54436,55544,56094,56704,57320,57891,58276,59270,60190,61415,62803,64055
California,San Bernardino,1992161,2003735,2013960,2040803,2060596,2073088,2082101,2098346,2114352,2130726,2149847,2165627,2177279,2189183
California,San Diego,2975742,3022116,3061203,3103260,3137236,3175148,3210788,3249307,3280825,3305462,3319019,3332483,3330459,3332427
California,San Francisco,778673,791152,801922,805519,815694,828963,839695,850918,863237,871343,877471,879676,878826,866606
California,San Joaquin,668080,671692,677736,687115,694265,699444,701831,711296,721919,732662,743286,752590,761571,767967
California,San Luis Obispo,262770,266358,268145,269800,271056,274174,275713,278271,280138,281884,282473,283250,282728,282249
California,San Mateo,693849,703830,713617,719948,728945,739700,749131,757653,765479,767928,768658,768410,764810,758308
California,Santa Barbara,411243,415859,420356,424218,425404,429635,434503,438921,442051,444112,444998,445137,445464,444766
California,Santa Clara,1712026,1740964,1765137,1786001,1811891,1837605,1866050,1891286,1915736,1928144,1932251,1931985,1922411,1907105
California,Santa Cruz,253304,256520,260009,263174,264927,266391,268836,270863,273495,274476,274865,273713,272870,269925
California,Shasta,176548,177247,177279,177277,177613,177908,178447,178904,178386,178592,179403,179666,179645,179027
California,Sierra,3373,3320,3248,3220,3100,3068,3031,2976,2990,2956,3008,2961,2959,2920
California,Siskiyou,44465,44780,44788,44941,44622,44091,43550,43357,43275,43402,43647,43624,43663,43245
California,Solano,408243,408972,410290,413963,416325,419645,423634,428971,433378,438834,443554,445931,447434,446935
California,Sonoma,467356,473091,479479,484675,487231,489784,493870,498317,500598,502445,502203,497221,492318,489819
California,Stanislaus,507834,509032,511536,515137,517515,520336,523313,527814,532954,538986,544494,547855,549761,550081
California,Sutter,92959,93855,94366,94742,94466,94153,94457,94721,95224,95769,96161,96348,96910,96385
California,Tehama,62147,62648,62891,63562,63337,63213,62878,62797,63150,63468,63827,63904,65186,64494
California,Trinity,13648,13656,13762,13755,13685,13494,13427,13126,13094,12827,12727,12598,12337,12216
California,Tulare,422140,429283,436987,442953,446709,449625,452259,454858,456794,458991,462072,464279,465751,468680
California,Tuolumne,56339,56320,55845,55164,54808,54201,53975,53830,53599,53729,53953,54250,54290,54515
California,Ventura,800027,806353,815130,825144,829908,833287,837729,842113,845599,846921,848264,847222,844203,841387
California,Yolo,194339,197154,199791,201061,201931,204558,206267,208368,211998,215569,218470,220082,220019,219728
California,Yuba,70761,71773,71607,72345,72480,72770,73082,73527,74039,74920,76575,77418,78549,80160
